Gene	Length
RAB11FIP2	6507
RPS8P4	627
RPL12P26	487
HMX3	2847
FHIP2A	6216
DUX4L24	1269
LDHAP5	622
FAM53B	6533
MRPS21P6	261
LINC02681	2222
TCF7L2	6739
RPL26P29	438
XIAPP1	600
LINC01167	604
FAM24B	1177
PRLHR	5506
RPS26P42	326
BTBD16	2413
OAT	3388
COX20P1	357
MGMT	6527
SFXN2	8034
PLEKHS1	5594
MTG1	5308
LINC01166	2619
FRG2B	2097
IKZF5	4928
RPL12P27	496
WBP1L	7833
SLC25A18P1	454
RPL22P17	315
DUX4L28	678
BCCIP	4496
NTAN1P1	646
INPP5A	3739
LINC01153	2864
CHST15	6543
TXNP1	371
ARL5AP2	533
TACC2	18855
LINC02661	794
HABP2	3630
RPS27P18	247
KCNK18	1155
NKX1-2	3211
LHPP	4075
DHX32	3925
TEX36-AS1	749
HTRA1	2250
MKI67	12845
PDZD8	9854
DUX4L14	1267
FAM24A	687
TEX36	1327
LINC02674	1097
TCERG1L-AS1	472
EEF1AKMT2	5819
TM9SF3	7494
ZDHHC16	3039
SFXN4	1915
LINC02667	1877
DUX4L20	1269
MMP21	3441
PPP2R2D	7392
CASC2	14972
RARRES2P2	485
DUX4L25	1269
LINC01163	3190
CUZD1	2837
INSYN2A	4840
DUX4L23	1269
CLRN3	1146
LINC01168	5997
SAR1AP2	594
RPL7P36	681
AGGF1P2	2106
WDR11	10707
PRDX3	3379
EXOSC1	3578
AFAP1L2	5789
EDRF1-AS1	1989
NANOS1	4017
FANK1	3359
LINC00601	1168
DUX4L15	1267
ACADSB	6234
ALDOAP2	1076
DUX4L29	679
RBM20	8222
XPNPEP1	6691
DUX4L21	1269
FOXI2	3264
DMBT1L1	8141
SLC18A2	4125
RPS10P18	495
NKX6-2	2770
ABRAXAS2	2955
SHTN1	8252
PNLIPRP1	4986
TRIM8-DT	1349
GPR26	10306
ATRNL1	9957
LINC02627	2336
GNG10P1	199
STK32C	3553
RPL23AP60	454
UROS	9505
C10orf120	1088
DUX4L11	1267
BUB3	8175
GRK5-IT1	400
FANK1-AS1	428
CTBP2	11056
YBX2P1	760
CLUHP5	774
C10orf88	3083
ARMS2	818
EDRF1	7741
DUX4L10	1267
RPL15P13	645
TCERG1L	5258
GRK5	7021
ADD3-AS1	9085
PPIAP38	483
CNNM1	6156
TRAF6P1	1558
DUX4L12	1267
HMGB3P8	577
EDRF1-DT	3432
NIP7P1	512
PHACTR2P1	1573
WNT8B	2144
BUB1P1	607
ZNF488	3516
RPL5P27	881
DUX4L22	1269
DUX4L13	1267
RPS26P39	341
CCDC172	1757
RGS10	1274
BTBD7P2	620
MRPL35P3	364
MIR3663HG	3565
PNLIP	1539
NRG3	5192
VAX1	5788
C10orf82	2411
XRCC6P1	1805
INPP5F	7479
TAF9BP2	499
CWF19L1	3985
GJD4	1649
TRUB1	3599
RPL23AP59	461
ADD3	6539
CPXM2	4856
GPR158	7989
DNMBP	8489
PPIAP31	495
MMS19	5763
ARL3	3834
HPSE2	4421
ENO4	3177
OIT3	2365
PPIAP19	492
LINC02646	1830
RPS15AP30	390
NHLRC2	11223
EMX2	3261
RTKN2	9793
OPALIN	3874
SLC25A28	1830
RPL17P50	546
GAPDHP45	349
LINC02641	5317
DCLRE1A	4582
FAF2P1	1298
RPL34P19	342
LINC00867	4155
PTCHD3P1	537
ERLIN1	3491
LINC02629	631
GSTO2	9926
HMGB1P7	612
PARD3	6513
RNU6-576P	102
MIR6078	100
RNU6-163P	106
RNU6-889P	103
MIR6072	71
RNA5SP299	116
RN7SKP78	318
MIR3155A	82
MIR3155B	56
RNU6-1095P	108
RN7SL198P	258
RNA5SP300	107
RNU6-6P	107
MIR548AK	57
RNU6-1075P	107
RNU2-18P	162
RNA5SP302	100
RNU6-1212P	104
RNA5SP303	130
MIR511	87
MIR4293	78
MIR1265	86
RNU6-1141P	107
RNU6ATAC39P	149
MIR4480	71
MIR4481	60
MIR548Q	100
RNU6-88P	100
MIR603	97
RN7SKP219	296
RN7SKP37	296
RNA5SP307	116
RNA5SP306	107
RNU6-413P	107
RNA5SP304	104
RN7SKP132	208
MIR604	94
SNORD115	135
MIR938	83
RNU6-908P	94
RNA5SP308	115
RNU6-632P	64
RN7SL825P	295
RN7SKP220	288
RNU6-1244P	108
RNU7-22P	61
RN7SL398P	298
RNU6-193P	107
MIR4683	81
RNU6-847P	108
RNU6-1118P	104
RNU6-795P	103
RNU6-1170P	106
RNU6-885P	104
MIR3156-1	75
RNA5SP312	116
RNU6-1207P	107
MIR605	83
RNA5SP318	92
RN7SKP196	345
RNU6-543P	108
MIR3924	81
MIR4294	76
RNU2-72P	163
MIR1296	92
RNA5SP319	119
SNORD98	67
MIR4676	72
RN7SL284P	275
MIR606	96
RN7SL518P	280
RNU6-673P	104
SNORA71	379
RNU6-1266P	105
RN7SL840P	284
RNU6-325P	105
RNU6-478P	110
RN7SKP238	249
RNA5SP322	119
MIR346	95
RNU6-129P	107
RN7SKP143	310
RNU6-441P	106
MIR4678	74
RNA5SP324	108
SNORA12	147
RNU6-422P	107
RNU6-1231P	103
RNU2-43P	190
MIR6507	70
MIR4482	70
RN7SKP278	342
RNA5SP326	110
RNU5B-6P	68
RNU6-463P	107
RNU4-5P	135
RNU7-165P	60
MIR4295	85
RNU6-1165P	107
RNU6-1090P	94
MIR936	98
RNU6-1121P	109
RNU2-59P	191
MIR3663	97
RN7SL384P	298
MIR4483	62
RNU6-839P	108
RNA5SP325	130
RN7SL846P	292
MIR3158-1	81
MIR3158-2	81
MIR609	95
RNU2-42P	113
SNORA19	128
MIR4484	83
MIR4296	88
RN7SL749P	290
RNU6-728P	104
MIR4681	72
MIR378C	81
RNA5SP328	109
MIR3941	103
LRRC27	11500
PWWP2B	2647
LINC02870	2040
LINC01165	1623
TMEM26-AS1	863
LINC02625	510
NFKB2	4714
PSD	5979
CUEDC2	1335
MIR146B	73
C10orf95-AS1	6160
C10orf95	1469
MFSD13A	3526
ACTR1A	4655
RPL23AP58	469
RNU6-43P	107
EIF4BP2	1794
NPM1P30	828
NEBL-AS1	681
LUZP4P1	344
RNU6-15P	107
LINC02881	1714
RPL9P21	505
PLAU	2949
C10orf55	2513
HTR7	3472
ANKRD1	1790
RNU6-740P	105
LINC00502	1000
DDX18P6	1997
RPL35AP24	330
SNORA74C-2	201
RNA5SP317	116
FAM21EP	2549
SLC9A3P3	2229
WASHC2A	5162
SLC9A3P1	1685
DYNC1I2P1	1838
LINC02621	706
RN7SL591P	292
ZNF365	4960
ALDH7A1P4	178
ADO	3760
LINC02666	1005
MIR4297	76
RPL21P16	483
LINC01561	2176
PLPP4	3722
MIR4675	77
MTND1P21	285
LINC02643	439
MRM3P1	560
MIR1915HG	3799
MIR1915	80
SKIDA1	6703
RNU6-306P	107
NPS	1231
OLAH	2334
FAM170B	1414
CASP7	3612
BAG3	2737
PRKG1	12931
VCL	9992
SUFU	6880
COX15	5215
NRAP	5669
RNU6-946P	107
FAM238C	5545
RNU6-490P	107
MASTL	4660
RNU2-24P	143
RNU7-12P	62
LRRC37A6P	5625
RPL7AP8	804
RPAP2P1	1168
ANKRD26	13564
RNU6-1274P	107
RPL13AP5	612
MIR607	96
HMGN2P35	270
SLIT1	9142
SLIT1-AS1	1391
NET1	4762
CALML5	874
CALML3-AS1	9205
CALML3	1811
RN7SL445P	293
ASB13	3003
TASOR2	10960
GDI2	3918
NRBF2P5	788
RPL12P28	489
LASTR	5307
CEP55	3291
RNA5SP323	133
FFAR4	4060
PDE6C	3361
FRA10AC1	8162
LGI1	15449
RAB11AP1	646
RPSAP7	885
CDNF	1703
HSPA14	2502
SUV39H2-DT	999
CNNM2	16324
RPS15AP29	400
MARCKSL1P1	541
ST13P13	1092
RPEL1	2130
INA	3251
PCGF6	3008
RNU11-3P	133
ATP5MK	924
MIR1307	149
NT5C2	9137
SLC35G1	6829
PIPSL	3350
PLCE1-AS2	4248
HDAC1P1	1445
RNU6-657P	107
PLCE1-AS1	2913
NOC3L	4464
TBC1D12	7286
HELLS	10150
CTBP2P2	1334
TUBB8	2874
IL9RP2	1312
RNA5SP297	113
RNA5SP298	111
RN7SL754P	266
ZMYND11	5325
ATP5MC1P8	294
KCNMA1-AS1	7061
KCNMA1-AS2	457
COX6CP15	211
RNA5SP321	111
KCNMA1	39437
KCNMA1-AS3	2125
MBL2	3617
ABCC2	7837
SHLD2P3	2712
RN7SL453P	329
RHEBP2	600
NPY4R2	1956
FAM25C	352
LIPJ	4528
RPL7P34	712
LIPF	2348
NAPGP1	719
KRT8P38	1430
RCBTB2P1	1462
LIPM	1511
LIPN	5627
RNU6-598P	105
EEF1A1P39	250
DNM1P17	426
GOLGA2P6	2049
RN7SL241P	236
MIR7162	69
NIFKP1	889
CCND3P1	580
MAP3K8	3517
HNRNPA1P32	963
RN7SL63P	304
SNRPGP12	213
SMNDC1	5404
DUSP5-DT	3430
HMGB3P5	612
DUSP5	2535
MTPAP	8341
RNU6-571P	107
MED28P1	571
ACTBP14	1089
SRGN	1217
RPS12P17	377
ANXA8	4955
RUFY2	8137
LCOR	29854
VTI1A	8408
KIFBP	7344
ASAH2B	6481
FBH1	6676
RPP30	4418
NEBL	17810
DOCK1	8142
CC2D2B	7555
CFAP43	7186
TRIM8	5011
DMBT1	9375
HSPA12A	21113
RNU6-883P	107
RPS26P41	284
MYOZ1	1300
SYNPO2L	5104
SYNPO2L-AS1	2927
BMS1P4-AGAP5	3810
BMS1P4	2660
RNA5SP320	124
DUSP8P5	1815
SEC24C	5353
FUT11	4925
CHCHD1	1483
ZSWIM8	7929
ZSWIM8-AS1	1460
NDST2	4654
C10orf71	5439
RPL35AP23	330
TIMM23	1190
SNORA74C-1	201
MSMB	926
RPL23AP61	466
AGAP7P	2062
LINC00200	5823
VPS26A	5116
SUPV3L1	4281
HKDC1	4223
RPS15AP28	386
ATP5MC1P7	400
TSPAN15	2651
TMEM256P1	340
NEUROG3	1560
MTATP6P23	476
MTCO2P23	680
MTCO1P23	1526
MTND2P15	892
MTND1P20	950
FAM241B	1350
LINC02651	576
RNU6-666P	107
RNU6-452P	107
LINC02673	1395
FAM210CP	574
TRIAP1P1	225
PTCHD3	3595
ACBD5	11794
KIF11	5322
RPL11P4	436
RN7SL644P	259
LINC02636	1527
AIFM2	5135
SAR1A	6914
CALM2P2	440
RPS25P9	252
PPA1	5166
TYSND1	4621
RNA5SP309	106
SPTLC1P1	261
RPS15AP5	388
NSMCE4A	3543
HPS6	2688
LDB1	3776
PPRC1	6097
NOLC1	3970
ELOVL3	1400
PITX3	1429
AK3P5	519
MTND4LP11	280
RN7SL847P	270
RPL7AP53	793
PFKP-DT	578
PFKP	7728
PITRM1-AS1	4370
RNU6-687P	89
NEFMP1	1006
MIR548F1	84
MTRNR2L5	1687
GAPDHP21	1010
PITRM1	12635
RNY3P12	102
MARK2P9	1727
IDE	16811
NPAP1P2	1234
CTSLP6	1002
PGGT1BP2	1028
BMS1P21	365
MBL1P	1424
SFTPD	4238
SFTPD-AS1	5001
ZNRF2P3	374
DPY19L2P5	331
C1DP3	423
C1DP2	426
C1DP4	424
TMEM254-AS1	3138
TMEM254	2996
RPL22P18	377
PLAC9	1240
MACROH2A2	14988
NPFFR1	9249
LINC02668	4650
ITGB1	14561
ABI1	4218
MLLT10	9130
EPC1	11286
KIF20B	6871
TIMM23B	3040
R3HCC1L	3571
PSTK	6118
CABCOCO1	1821
NUTM2D	6933
PTPRE	11193
AP3M1	5691
HERC4	15800
MCM10	5456
MXI1	5907
HECTD2	11550
ADK	4658
HK1	6293
IFIT6P	1194
IFIT1B	1972
IFIT1	4614
SLC16A12	4873
SLC16A12-AS1	690
RPL15P14	636
ANAPC16	4324
DDIT4	2118
RNU6-805P	106
SNX19P4	568
RNA5SP305	119
RN7SKP241	291
PRPF38AP2	851
HACD1	3854
STAM-DT	2595
STAM	4130
TMEM236	5515
GTPBP4	6121
IDI2	1356
IDI2-AS1	3348
FAM25E	322
RNA5SP310	116
ANTXRLP1	1829
AGAP14P	2060
FAM25BP	544
ANXA8L1	2860
LINC00842	2872
HNRNPA1P33	561
NPY4R	2033
STOX1	3914
RNU6-697P	107
DDX50	2683
SLC29A3	5438
CDH23-AS1	378
C10orf105	4891
VSIR	5153
MIR7152	54
CDH23	18592
RNU7-38P	60
PPIF	2671
ZCCHC24	5048
TPRX1P1	319
RPS12P18	270
SFTPA2	2695
MBL3P	644
SFTPA3P	367
SFTPA1	2451
LINC02679	687
NUTM2B-AS1	22490
BEND3P3	2440
WAPL	7205
RNU6-780P	104
CYP2C58P	475
RPL7AP52	790
CYP2C9	4058
MTND4P20	869
CYP2C59P	269
CYP2C60P	139
CYP2C8	2509
PAWRP1	565
ACSM6	2807
RPS3AP36	775
ALDH18A1	3759
ENTPD1	14344
LOXL4	3597
PYROXD2	3865
MIR1287	90
HPS1	5285
MIR4685	69
LINC02620	1013
SORCS3	5575
SORCS3-AS1	1278
MCMBP	5994
SEC23IP	7847
MIR4682	80
NACAP2	624
IFIT5	4369
CH25H	1689
LIPA	4891
TCTN3	9465
IFIT3	5067
CAMK2G	7273
OGDHL	5726
MAPK6P6	1053
RPL21P89	467
TIMM23B-AGAP6	4505
SGMS1	6423
RNU7-107P	61
SHQ1P1	1544
RPS26P38	348
PAPSS2	4083
ATAD1	5745
CFL1P1	2695
RN7SL78P	281
KLLN	4376
RPL11P3	523
ARID5B	8760
RPL26P6	438
MSS51	2423
PPP3CB	5089
SEC31B	7934
NDUFB8	1999
HIF1AN	13894
PAX2	6582
SLF2	8812
SEMA4G	5253
MIR608	100
TWNK	4135
LZTS2	6547
PDZD7	6602
KAZALD1	4171
IFIT2	4326
MIR8086	93
MPP7-DT	843
ZNF101P1	1720
LINC02652	273
RPSAP10	878
RN7SKP39	322
WAC-AS1	3387
WAC	12780
RNU4ATAC6P	126
TPRKBP1	481
RNU6-1067P	107
BAMBI	2139
RNU6-270P	105
LINC00837	5296
ADGRA1-AS1	5419
RPL5P28	693
UTF1	1214
VENTX	2459
MIR202HG	1307
MIR202	110
ADAM8	4763
ZNF511	2289
ZNF511-PRAP1	1044
CALY	3010
BANF1P2	264
PRAP1	749
FUOM	1270
ECHS1	1277
MIR3944	108
PAOX	2250
ERCC6	23104
HMGB1P50	607
CHAT	6588
SLC18A3	2411
C10orf53	5804
ZNF248	7291
NCOA4	3988
DRGX	3078
PTER	4003
OTUD1	3303
EIF5AL1	3908
HMX2	1614
PARG	5158
FZD8	4050
TIAL1	7355
SLC16A9	4197
FAM107B	7019
IDI1	4294
SFR1	1806
NPM3	928
OGA	7247
KCNIP2-AS1	1234
KCNIP2	3397
KNDC1	23301
FGF8	1443
GFRA1	10655
RNU1-19P	165
MMRN2	5086
SNCG	1264
ADIRF-AS1	5748
ADIRF	758
BMS1P3	932
AGAP11	1740
FAM25A	357
RNU6-529P	104
SHLD2	4239
RN7SL733P	329
RAB18	14362
ADGRA1	4357
GPAM	9809
TECTB	3935
MIR6715B	77
MIR6715A	79
GUCY2GP	3268
ZEB1	8650
ARL6IP1P2	563
RNU6-811P	107
LINC00993	1175
RN7SL314P	292
TMEM161BP1	1457
VN1R53P	957
TUBGCP2	14147
ZDHHC6	9250
CEP57L1P1	1201
EIF4EBP2	7491
NODAL	2086
YY1P1	668
EBF3	7596
C10orf143	6811
CTAGE7P	2436
PPIAP32	472
GLRX3	5189
PRPF18	1844
RPL6P24	864
RNA5SP301	121
ACSL5	4137
MIR107	81
MIR5100	119
LINC02623	1714
LINC01264	500
RET	8973
CSGALNACT2-DT	1511
CSGALNACT2	3765
RASGEF1A	6219
LINC02633	391
RNU6ATAC11P	125
RPL5P26	877
COL13A1	11509
GLUD1	14283
LINC02665	729
COX6CP17	185
RNU6-535P	107
RN7SKP167	285
FGFR2	18813
PCDH15	15397
MIR5699	90
DIP2C-AS1	9247
CTNNA3	16452
RPL7AP51	760
MIR7151	60
AKR1B10P1	942
RPL21P92	476
DNAJC12	2139
RNU6-1250P	107
RN7SL394P	291
DNAJC19P1	319
RNU6-523P	54
RPL12P8	580
SIRT1	4564
RPS3AP38	763
RN7SL220P	300
POU5F1P5	658
DNAJB12	5568
DUSP13	2339
SORCS1	10136
FBXL15	2455
SH2D4B	4584
ANTXRL	3101
AGAP5	3061
LBX1	1770
FAM25G	473
ODAD2P1	853
LINC02680	3626
C10orf90	5659
P4HA1	3093
ADAM12	9882
ANKRD30A	5152
LIPK	1303
ZFYVE27	3899
MPP7	6371
SORBS1	10951
SFMBT2	10609
DUSP29	1135
ASAH2	7281
FXYD4	833
HNRNPF	3273
SNORD3J	190
LINC02916	760
RNU7-193P	65
ZNF239	2509
CAP1P2	1409
ZNF485	2386
ZNF32-AS3	1932
RPL21P88	436
ZNF32	1460
ZNF32-AS1	434
ZNF32-AS2	905
ZNF487	5168
CCNJ	4148
MIR3157	85
RNU6-271P	105
BLNK	6186
NPM1P25	854
PRF1	2518
ADAMTS14	5566
RPS26P40	294
SGPL1	7510
PCBD1	1395
LINC02622	2235
TBATA	4218
SFXN3	4631
TLX1NB	1891
TLX1	2626
CALHM2	3108
CALHM1	3212
CALHM3	1652
NEURL1-AS1	1017
SH3PXD2A-AS1	2217
STN1	6569
RN7SL524P	300
MED6P1	713
PTEN	12547
CTSLP3	1476
GLUD1P2	669
RNA5SP311	116
AGAP13P	363
PTPN20	4506
FRMPD2B	3538
NUTM2B	5078
BMPR1A	9518
OPN4	4275
BNIP3	4050
CXCL12	6143
OR6L2P	925
SCART1	8015
OR7M1P	533
CYP2E1	9622
SYCE1	4016
OR6L1P	910
SPRN	3185
RN7SKP202	330
ATOH7	1519
LINC02640	561
KRT19P4	943
PBLD	5172
HNRNPH3	5375
EIF3LP3	822
FXYD6P2	288
CCNYL4	1534
ZNF37A	13190
TACR2	2922
ZMIZ1	10804
PSAP	3115
WASHC2C	5703
CAMK1D	8680
MICU1	3775
CDK1	3909
RBP4	1458
ARHGAP21	11156
POLR3A	8082
JMJD1C	11155
WDR37	6301
ALOX5	3728
CACNB2	11162
NKX2-3	2088
PNLIPRP2	1574
AS3MT	2450
PRKCQ	3285
YME1L1	7336
SPOCK2	6405
RPL7P35	740
SMC3	15505
MYPN	8477
LDB3	10542
DPYSL4	3111
JAKMIP3	14669
AGAP6	5616
AGAP4	3217
GBF1	22901
VDAC2	2803
AKR1C2	6086
ABLIM1	10209
BTAF1	8679
NEURL1	5229
USP6NL	7550
SVIL	12536
MCU	4521
BEND7	10070
NUTM2E	6588
PLCE1	27189
LRRTM3	6341
TAF3	11462
GATA3	3396
GATA3-AS1	2372
RN7SKP288	268
RNA5SP327	101
PDCD4	4547
MIR4680	66
BBIP1	8442
SHOC2	15182
RPL13AP6	612
MIR548E	88
ADRA2A	3879
EGR2	3707
TAF5	7029
USP54	10338
AGAP12P	2400
BMS1P7	1052
PTPN20CP	1041
FRMPD2	8617
RPS6P14	719
MAPK8	9674
ARHGAP22	6776
ARHGAP22-IT1	470
RPL13AP19	584
DDX21	9274
PANK1	3817
LINC02635	1201
MIR3611	83
RNU7-77P	60
ATP6V1G1P4	335
ANKRD22	3995
PTCD2P2	1095
STAMBPL1	6323
ACTA2-AS1	3183
ACTA2	2976
FAS	19060
MIR4679-2	77
MIR4679-1	75
SFTA1P	3182
LINC00710	7545
CELF2-AS2	4855
CELF2-AS1	2469
NUDT13	2521
SNORA11F	128
ECD	3675
FAM149B1	7520
DNAJC9	3218
EIF4A2P2	1070
DNAJC9-AS1	4200
MRPS16	2794
RNU6-833P	107
ANXA7	2862
CUL2	14494
CELF2	11029
CFAP70	7664
ATE1	17116
RNU1-65P	148
HMGN2P8	268
GHITM	6575
CERNA2	1874
C10orf99	825
CDHR1	7729
LRIT2	3056
RGR	4942
LRIT1	2386
LINC00858	4726
RPL12P29	457
TNPO1P1	1138
CACYBPP1	684
VIM	5176
TMEM72	3049
LRRC20	3625
ZNF518A	11266
ADIPOR1P1	1074
EBLN1	1777
PSME2P6	327
RPL31P45	356
COMMD3	2903
COMMD3-BMI1	1904
BMI1	4395
ADRB1	3039
RNU6-709P	104
UBE2V1P5	405
CCDC186	9003
MIR2110	75
VWA2	6353
AURKAP2	333
TDRD1	5256
RNA5SP315	116
LINC02634	380
RNU6-794P	64
RNU6-1167P	94
CCNY-AS1	1426
SYT15	7160
SHLD2P1	3752
LINC02637	551
RHEBP1	556
RN7SL248P	329
GPRIN2	9435
PLEKHA1	13738
SH3PXD2A	12035
WDFY4	13681
MRPL43	3578
CREM	5699
LINC02649	5286
IATPR	1544
TNKS2-AS1	1002
LINC02642	3028
C10orf88B	2236
LINC00836	9650
LINC01374	1520
LINC02669	7617
ZNF503-AS1	5276
ATE1-AS1	1483
LINC00845	2767
LINC01164	3611
ITGB1-DT	4141
TMEM72-AS1	10787
LINC02660	2601
UNC5B-AS1	777
PPP3CB-AS1	5799
LINC01515	19472
PARGP1	4200
LNCAROD	3291
VIM-AS1	2126
ZNF37BP	10259
BMS1P1	7449
ZMIZ1-AS1	5135
CFAP58-DT	1134
WDR11-AS1	6711
MACORIS	406
PDCD4-AS1	925
NUTM2A-AS1	23921
CELF2-DT	6932
C10orf71-AS1	991
SVIL-AS1	13345
ADARB2-AS1	1234
LINC00844	7164
LINC00706	1111
LINC00865	6079
GLUD1P3	1809
SEPTIN7P9	2434
ENTPD1-AS1	26598
PRKCQ-AS1	5888
ZEB1-AS1	3861
OLMALINC	13784
LARP4B	17029
KDM5A	12029
FAM138D	1289
DDX11L8	366
IQSEC3	7679
C12orf4	4932
KCNA6	4237
ITFG2-AS1	1887
FKBP4	5163
SLC6A12-AS1	765
TSPAN9-IT1	562
FOXJ2	6297
AICDA	3107
SLC2A3	6071
KCNA5	2910
CCDC77	3550
AKAP3	3672
ZNF705A	3628
OR7E149P	1023
GABARAPL1-AS1	329
HSPD1P12	1069
OR7E140P	1026
A2ML1-AS1	452
RHNO1	2644
DDX12P	2947
SLC6A13	4243
DEFB109F	615
MFAP5	3889
CLEC4E	2364
HSPE1P12	301
PRR4	1310
LINC02827	3004
NECAP1	8785
TAS2R50	1000
GAPDHP31	1014
RIMKLB	8597
TAS2R14	2348
A2MP1	4657
ETV6	7230
LINC02617	649
CLEC1A	3169
C3AR1	3491
TAS2R63P	925
A2ML1-AS2	386
TAS2R46	930
CLEC9A	2857
NANOGP1	2032
TAS2R10	1042
LRP6	10369
GDF3	1236
SMIM10L1	4823
GABARAPL1	4053
PTMAP9	327
KLRC4-KLRK1	2592
KLRD1	17412
MAGOHB	4839
DDX55P1	1414
LINC02367	6872
OR7E148P	971
SUPT16HP1	3133
PLBD1-AS1	5050
NIFKP3	865
KLRB1	1478
OLR1	3057
CLEC4D	2050
LINC02417	515
RPL7P40	745
POU5F1P3	1078
YBX3	8621
RERG-AS1	337
RPS3AP43	781
SKP1P2	499
TAS2R19	1002
PTPRO	20254
APOBEC1	894
CLEC7A	4190
LINC01252	4456
PRH2	3261
MANSC1	5716
FAM234B	6710
OTUD4P1	3067
TAS2R31	1021
HNRNPABP1	734
LINC00937	5663
RPSAP51	645
FAM90A1	2538
PRB2	1795
ALG1L10P	430
LINC02598	562
A2ML1	7156
TAS2R15P	928
STYK1	3440
NRIP2	2814
TAS2R30	1687
BCAT1	11415
TEAD4	2275
KLRK1	3044
SLC25A39P2	270
HIGD1AP8	274
STK38L	6863
SLC15A5	2923
GCSHP4	439
GYS2	3214
METTL8P1	611
TAS2R43	1027
BORCS5	6522
PRB4	923
MGST1	7441
RPS27P22	241
HADHAP2	2285
TAS2R9	1075
CLEC6A	1646
DPPA3	1100
RPL7P6	738
GNAI2P1	315
EEF1A1P16	1414
PRMT8	6677
SUPT4H1P2	353
WASH8P	1817
TAS2R7	1096
RPL23AP66	479
TIMM17BP1	516
EEF1A1P4	1405
TAS2R42	945
FAM86FP	994
SLCO1B7	2822
ITFG2	6255
LRRC34P1	915
TAS2R13	1637
LINC02406	1368
KNOP1P1	989
SYT10	5082
CBX3P4	653
EPS8	8540
PSMC1P8	1296
BORCS8P1	330
PRICKLE1	8223
PARP11	6200
CRACR2A	12466
HSPA8P5	2069
MRPS18CP4	231
LINC02449	2561
RERG	4157
TUBB8P5	1351
KLRK1-AS1	6428
DERA	2813
LINC02468	1344
BCL2L14	5112
RPL23AP14	468
TEX52	1116
GALNT8	4431
TSPAN9	6905
PCED1B	2618
B4GALNT3	7292
LINC02386	1074
SLC38A4	4145
EGLN3P1	720
ETFBKMT	6868
LSM6P2	177
AMN1	3137
KLRA1P	2457
LINC02416	540
ARNTL2-AS1	804
FAM186B	4756
NANOGNB	996
STRAP	2215
CCDC184	2283
IFITM3P6	603
ENDOU	2679
LINC00477	1710
H3-5	1114
SINHCAF	5575
INTS13	3059
SPRYD3	3463
LINC02402	2460
DBX2-AS1	499
THCAT155	6521
TAS2R64P	2403
RERG-IT1	301
ASB8	4086
TULP3	3179
UBE2L2	429
PPP1R1A	3984
STMN1P1	440
TMEM117	3440
TEX49	662
HOXC9	1666
SLC2A13	10023
OR10A7	951
TMTC1	14681
C12orf40	4454
NANOG	5392
SLC38A1	10015
TDGP1	1229
ALG10B	11258
COX14	970
LINC02450	1480
HOXC-AS2	2216
CCNT1	7381
DDX11	8367
SLC38A2	6509
AK6P2	471
CISTR	2033
LINC02395	8975
HOTAIR	2602
LACRT	882
AQP5-AS1	1574
CLUHP8	1485
KRT74	3006
NTF3	2923
MRPS36P5	298
IPO8	6809
RACGAP1P1	1879
GPD1	3822
KNOP1P2	1317
KRT87P	1778
ADI1P3	470
POLR2KP1	168
HOXC-AS1	592
EEF1A1P17	1275
NCKAP5L	8090
ZNF75BP	1524
LINC02156	2805
NDUFA9	10391
DUX4L27	1261
SHMT2	4592
KRT6B	2302
GLS2	4141
DCD	878
TUBB8P4	1324
RPAP3	5350
KRT126P	1181
KRT76	2529
MTND2P17	688
HOXC10	2371
ARID2	12086
HOXC11	3265
RPS3P6	605
GLYCAM1	816
ETNK1-DT	862
ZNF970P	223
SSBL3P	1075
LINC02378	1543
GAPDHP44	1007
NF1P12	583
LINC02448	583
HOXC8	2417
LINC02461	836
CPNE8	5120
AQP5	1884
SOX5-AS1	3463
OR7E47P	1505
CELA1	953
RPL14P1	645
FLJ12825	4745
HSPD1P4	1702
PFKM	7246
SMAGP	3083
HOXC4	2767
KRT125P	989
KLF17P1	1126
OR5BK1P	823
BTBD10P1	1352
RSL24D1P5	491
RESF1	6646
IL22	1173
METTL7AP1	496
KRT8P39	1433
VTI1BP3	636
LINC02400	1725
PDZRN4	4872
PARK7P1	541
MED21	3632
DPY19L2	5611
HOXC-AS3	3109
CERS5	6766
THAP2	5240
IL26	1066
RPL7AP9	800
SLC38A2-AS1	627
SLC16A7	13703
KRT127P	433
FLJ13224	1514
VENTXP3	773
KRT86	2424
KRT85	2713
RPL10P13	303
RBMS2	8914
ATP5PDP4	475
MRPL40P1	604
SMARCD1	4903
CTDSP2	5432
SRGAP1	26230
KRT89P	1493
ATP23	3327
PPP1R12A	11864
LDHAL6CP	3350
ITGB7	4451
TMEM19	6494
PDE3A-AS1	525
MTND1P24	861
ITGA5	7383
ACSS3	18465
KRT6C	2916
PPP1R12A-AS1	3234
RACGAP1	4487
RPL6P25	860
LINC02421	3135
IGFBP6	1346
KRT2	2569
TIMELESS	5851
PAWR	11530
PPM1H	7164
KRT5	4133
FAIM2	6057
VDAC1P5	844
RPL36AP41	306
TMBIM6	6186
HNRNPA1P69	933
ARL2BPP2	489
BIN2	3986
BEST3	6863
GALNT6	7347
BTG1	4855
LINC02464	1059
CPSF6	8050
RPL41P5	78
MRS2P2	1201
LINC02410	393
HIGD1AP1	275
HIGD1AP9	279
KRT84	2092
ATF1	2830
SYT1	6389
LRRIQ1	8793
CBX3P5	521
PTPRR	5037
